category,product,sales,profit,region,month
水果,苹果,120,24,华东,2024-01
水果,香蕉,85,17,华东,2024-01
水果,橙子,95,19,华北,2024-01
蔬菜,胡萝卜,60,12,华东,2024-01
蔬菜,白菜,45,9,华北,2024-01
蔬菜,土豆,70,14,华南,2024-01
肉类,猪肉,200,40,华东,2024-01
肉类,牛肉,180,36,华北,2024-01
肉类,鸡肉,150,30,华南,2024-01
乳制品,牛奶,100,20,华东,2024-01
乳制品,酸奶,80,16,华北,2024-01
乳制品,奶酪,60,12,华南,2024-01
水果,苹果,135,27,华东,2024-02
水果,香蕉,90,18,华东,2024-02
水果,橙子,105,21,华北,2024-02
蔬菜,胡萝卜,65,13,华东,2024-02
蔬菜,白菜,50,10,华北,2024-02
蔬菜,土豆,75,15,华南,2024-02
肉类,猪肉,220,44,华东,2024-02
肉类,牛肉,195,39,华北,2024-02
肉类,鸡肉,165,33,华南,2024-02
乳制品,牛奶,110,22,华东,2024-02
乳制品,酸奶,85,17,华北,2024-02
乳制品,奶酪,65,13,华南,2024-02